sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
P0313,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680130456,
P0876,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680131727,
P0563,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680132973,
P0626,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680133520,
P0314,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680135757,
P0564,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680136134,
P0877,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680137102,
P0627,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680137612,
P0315,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680139615,
P0628,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680140383,
P0878,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680140694,
P0565,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680140765,
P0566,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680143439,
P0316,Hypertension,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45876622,Hypertension,Meas Value,MAPS_TO,,<auto>,1782680143701,
P0879,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680144281,
P0629,Pain Relief,-1,,1.00,UNCHECKED,UNREVIEWED,,0,4082404,Pain relief,Procedure,MAPS_TO,,<auto>,1782680144726,
P0567,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680146170,
P0880,Diabetes,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45879799,Diabetes,Meas Value,MAPS_TO,,<auto>,1782680147167,
P0317,Infection,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45885195,Infection,Meas Value,MAPS_TO,,<auto>,1782680147466,
P0630,Depression,-1,,1.00,UNCHECKED,UNREVIEWED,,0,45878997,Depression,Meas Value,MAPS_TO,,<auto>,1782680148480,
